86 92 100 ==> 97 102 #SUP: 91668 #CONF: 0.5984957300671176
86 92 97 ==> 100 102 #SUP: 91668 #CONF: 0.8504708447372084
97 102 ==> 86 92 100 #SUP: 91668 #CONF: 0.5128509247966343
97 100 ==> 86 92 102 #SUP: 91668 #CONF: 0.6179587434272616
92 97 ==> 86 100 102 #SUP: 91668 #CONF: 0.6142156468601753
86 100 ==> 92 97 102 #SUP: 91668 #CONF: 0.5189920000905863
86 97 ==> 92 100 102 #SUP: 91668 #CONF: 0.7094607145068417
86 92 ==> 97 100 102 #SUP: 91668 #CONF: 0.529753408191217
97 ==> 86 92 100 102 #SUP: 91668 #CONF: 0.5128451864118516
92 98 100 102 ==> 86 #SUP: 61494 #CONF: 0.5830915400807873
86 98 100 102 ==> 92 #SUP: 61494 #CONF: 0.9123874241457588
86 92 98 102 ==> 100 #SUP: 61494 #CONF: 0.9424223383549677
86 92 98 100 ==> 102 #SUP: 61494 #CONF: 0.9999674775595161
98 100 102 ==> 86 92 #SUP: 61494 #CONF: 0.5275239982499935
92 98 102 ==> 86 100 #SUP: 61494 #CONF: 0.5432524117459981
92 98 100 ==> 86 102 #SUP: 61494 #CONF: 0.5830749537761343
86 98 102 ==> 92 100 #SUP: 61494 #CONF: 0.8555686956521739
86 98 100 ==> 92 102 #SUP: 61494 #CONF: 0.9123603507366359
86 92 98 ==> 100 102 #SUP: 61494 #CONF: 0.9423790112483525
98 100 ==> 86 92 102 #SUP: 61494 #CONF: 0.5275104225642081
92 98 ==> 86 100 102 #SUP: 61494 #CONF: 0.5432284167100997
86 98 ==> 92 100 102 #SUP: 61494 #CONF: 0.8555329864492612
